Entry Date,Symbol,MarketCap,Sector,Target Month,Month Open,Month High,Month Low,Month Close,%High,%Low,%Close
03-12-2012,ASTRAL,Largecap,Plastic products,Jan-2013,31.49,36.68,30.77,31.24,16.49,-2.29,-0.79
01-01-2013,SOLARINDS,Largecap,Aerospace & Defence,Feb-2013,197.68,205.7,177.76,186.19,4.06,-10.08,-5.81
01-02-2013,ASTRAL,Largecap,Plastic products,Mar-2013,35.37,36.68,29.31,32.21,3.72,-17.12,-8.91
01-04-2013,SUNPHARMA,Largecap,Healthcare,May-2013,431.05,493.59,422.31,475.07,14.51,-2.03,10.21
01-04-2013,GODREJCP,Largecap,FMCG,May-2013,251.26,268.56,241.67,261.65,6.88,-3.82,4.13
02-05-2013,APOLLOHOSP,Largecap,Healthcare,Jun-2013,959.8,1018.97,865.63,1002.09,6.16,-9.81,4.41
02-05-2013,PAGEIND,Largecap,Consumer Discretionary,Jun-2013,3737.69,3804.87,3441.36,3614.8,1.8,-7.93,-3.29
02-05-2013,ASTRAL,Largecap,Plastic products,Jun-2013,46.14,52.95,46.05,49.15,14.75,-0.19,6.52
01-07-2013,LUPIN,Largecap,Healthcare,Aug-2013,822.86,845.13,694.57,744.76,2.71,-15.59,-9.49
01-07-2013,PAGEIND,Largecap,Consumer Discretionary,Aug-2013,3953.13,4053.16,3452.13,3536.8,2.53,-12.67,-10.53
02-09-2013,HCLTECH,Largecap,I.T,Oct-2013,195.41,212.14,187.99,197.55,8.56,-3.8,1.09
01-10-2013,PIIND,Largecap,Chemicals,Nov-2013,195.5,238.16,188.78,219.0,21.82,-3.44,12.02
01-10-2013,ASTRAL,Largecap,Plastic products,Nov-2013,57.48,61.51,51.91,55.81,7.01,-9.69,-2.9
01-10-2013,PERSISTENT,Largecap,I.T,Nov-2013,174.42,196.29,171.19,187.62,12.54,-1.85,7.57
02-12-2013,HCLTECH,Largecap,I.T,Jan-2014,230.01,267.21,224.82,265.81,16.17,-2.26,15.56
02-12-2013,TECHM,Largecap,I.T,Jan-2014,325.96,336.75,300.98,315.7,3.31,-7.66,-3.15
01-01-2014,AUROPHARMA,Largecap,Healthcare,Feb-2014,221.88,253.77,217.79,246.39,14.38,-1.84,11.05
01-01-2014,PAGEIND,Largecap,Consumer Discretionary,Feb-2014,5060.69,5439.18,4844.9,5224.77,7.48,-4.26,3.24
03-02-2014,DRREDDY,Largecap,Healthcare,Mar-2014,531.69,531.69,470.43,473.66,0.0,-11.52,-10.91
03-02-2014,TATAELXSI,Largecap,I.T,Mar-2014,256.93,290.81,229.93,237.32,13.19,-10.51,-7.64
03-03-2014,SUPREMEIND,Largecap,Plastic products,Apr-2014,434.64,445.44,392.34,400.33,2.48,-9.73,-7.9
02-05-2014,EICHERMOT,Largecap,Auto,Jun-2014,617.28,750.8,614.5,738.75,21.63,-0.45,19.68
02-05-2014,MOTHERSON,Largecap,Auto,Jun-2014,21.08,22.89,20.63,22.68,8.59,-2.12,7.58
02-05-2014,TVSMOTOR,Largecap,Auto,Jun-2014,122.55,157.4,116.19,152.02,28.44,-5.19,24.05
02-06-2014,TORNTPHARM,Largecap,Healthcare,Jul-2014,303.17,336.36,282.58,318.66,10.95,-6.79,5.11
02-06-2014,BHARATFORG,Largecap,Industrials,Jul-2014,288.72,338.35,279.23,331.82,17.19,-3.29,14.93
02-06-2014,SRF,Largecap,Chemicals,Jul-2014,112.41,113.85,89.58,110.36,1.28,-20.31,-1.82
02-06-2014,HAVELLS,Largecap,Consumer Discretionary,Jul-2014,215.98,236.7,210.44,218.92,9.6,-2.56,1.36
02-06-2014,PIIND,Largecap,Chemicals,Jul-2014,322.92,409.86,294.35,379.91,26.92,-8.85,17.65
02-06-2014,SOLARINDS,Largecap,Aerospace & Defence,Jul-2014,390.91,407.48,346.88,392.18,4.24,-11.26,0.32
02-06-2014,NBCC,Largecap,Miscellaneous,Jul-2014,13.88,19.21,13.74,18.34,38.41,-0.98,32.14
01-07-2014,SUPREMEIND,Largecap,Plastic products,Aug-2014,520.75,548.48,493.28,517.9,5.33,-5.28,-0.55
01-07-2014,PAGEIND,Largecap,Consumer Discretionary,Aug-2014,7123.0,7251.98,6350.51,6369.43,1.81,-10.84,-10.58
01-08-2014,DABUR,Largecap,FMCG,Sep-2014,207.51,209.38,193.77,199.48,0.9,-6.62,-3.87
01-08-2014,TVSMOTOR,Largecap,Auto,Sep-2014,175.41,226.87,175.13,213.25,29.33,-0.16,21.57
01-08-2014,TECHM,Largecap,I.T,Sep-2014,418.14,451.12,418.14,443.93,7.89,0.0,6.17
01-08-2014,PERSISTENT,Largecap,I.T,Sep-2014,283.2,321.29,275.14,307.41,13.45,-2.84,8.55
