Symbol,Month,Open,High,Low,Close,%High,%Low,%Close
RELIANCE,Mar-2026,1375.5,1378.6,1341.5,1358.0,0.23,-2.47,-1.27
TCS,Mar-2026,2592.0,2623.8,2580.3,2613.5,1.23,-0.45,0.83
INFY,Mar-2026,1291.0,1298.8,1273.0,1288.9,0.6,-1.39,-0.16
HDFCBANK,Mar-2026,876.2,887.75,871.55,879.4,1.32,-0.53,0.37
ICICIBANK,Mar-2026,1355.0,1379.2,1355.0,1374.0,1.79,0.0,1.4
WIPRO,Mar-2026,195.0,200.36,194.7,198.57,2.75,-0.15,1.83
BAJFINANCE,Mar-2026,971.0,990.4,968.0,978.25,2.0,-0.31,0.75
SBIN,Mar-2026,1185.0,1197.3,1179.4,1189.9,1.04,-0.47,0.41
BHARTIARTL,Mar-2026,1850.1,1895.9,1847.9,1873.2,2.48,-0.12,1.25
ADANIENT,Mar-2026,2093.0,2147.9,2073.7,2124.6,2.62,-0.92,1.51
